sampleID,B02,B14,R02,R14,stage(B=0/R=1)
B02_LS_05,1,0,0,0,0
B02_LS_13,1,0,0,0,0
B02_LS_14,1,0,0,0,0
B02_LS_42,1,0,0,0,0
B02_LS_45,1,0,0,0,0
B14_LS_07,0,1,0,0,0
B14_LS_12,0,1,0,0,0
B14_LS_18,0,1,0,0,0
B14_LS_19,0,1,0,0,0
B14_LS_22,0,1,0,0,0
B14_LS_41,0,1,0,0,0
R02_LS_32,0,0,1,0,1
R02_LS_35,0,0,1,0,1
R02_LS_37,0,0,1,0,1
R02_LS_40,0,0,1,0,1
R02_LS_43,0,0,1,0,1
R14_LS_24,0,0,0,1,1
R14_LS_34,0,0,0,1,1
R14_LS_36,0,0,0,1,1
R14_LS_39,0,0,0,1,1
R14_LS_44,0,0,0,1,1
R14_LS_46,0,0,0,1,1